userName,score,content,at
A Google user,5,"Very interesting app, and easy navigation",2025-06-08 15:29:26
A Google user,5,I love banking with moniepoint,2025-06-08 14:27:59
A Google user,1,i love monipoint there the best,2025-06-08 13:51:34
A Google user,5,super fast. and trusted I love it,2025-06-08 12:58:36
A Google user,1,I hate this app,2025-06-08 12:39:44
A Google user,4,mfiruryr,2025-06-08 11:49:27
A Google user,2,The app is showing invalid authorisation pin when trying to buy airtime. The pin works on POS Terminal but given error in mobile app.,2025-06-08 11:08:42
A Google user,5,good 👍,2025-06-08 11:04:16
A Google user,5,nice app,2025-06-08 10:26:30
A Google user,3,good,2025-06-08 10:16:11
A Google user,5,fast and furious 🤣🤣🤣🤣,2025-06-08 10:14:38
A Google user,5,Suleiman Saidu Rufai,2025-06-08 09:33:57
A Google user,5,You're good and better,2025-06-08 08:45:24
A Google user,5,Good,2025-06-08 08:37:01
A Google user,5,fast and easy to use.....nice,2025-06-08 06:48:52
A Google user,5,Cool,2025-06-08 06:36:09
A Google user,1,"I created this account and I expected my business name to be on my profile but I can't see it moniepoint business fix that for me, and I added Printing and selling of recharge card in my business but I can't see it nawaooo this bank",2025-06-08 06:20:28
A Google user,4,nice app,2025-06-08 06:03:16
A Google user,5,easy go,2025-06-08 05:39:23
A Google user,5,moniepoint,2025-06-08 04:41:38
A Google user,5,All is well Chukwu Okikeabiama is away self,2025-06-08 03:35:52
A Google user,5,moniepoint moni,2025-06-08 03:34:24
A Google user,5,access,2025-06-08 03:06:21
A Google user,5,"super cool very special easy to use, fast transactions fast and reliable Gain more money and you can save",2025-06-08 01:11:22
A Google user,2,is difficut,2025-06-08 00:43:55
A Google user,5,lovelly,2025-06-08 00:14:14
A Google user,1,"I don't like what I hate while will they refuse to upload my address is it theirs or mine, are they the one to tell me where am currently leaving",2025-06-07 23:56:02
A Google user,5,Very nice 👍👍👍,2025-06-07 23:31:58
A Google user,5,you are the way the truth and the 🕯️ light,2025-06-07 23:30:10
A Google user,5,Thanks you,2025-06-07 22:14:12
A Google user,5,very nice also like a bank,2025-06-07 22:09:27
A Google user,5,good,2025-06-07 21:23:14
A Google user,5,I am fine I am leaving in Yola town,2025-06-07 19:39:14
A Google user,5,great,2025-06-07 19:21:29
A Google user,5,incredible,2025-06-07 19:14:47
A Google user,5,Awesomely wow❤️❤️❤️❤️❤️ i love it,2025-06-07 19:03:43
A Google user,5,amazing 👏,2025-06-07 18:48:51
A Google user,5,fast and nice app,2025-06-07 18:44:24
A Google user,2,"Monipoint is frustrating,am beginning to hate them, their frustration is unbearable, their transfer is excellent but when it comes to blocking your POS machine it always fast from their end without any notification from you but unlocking the machine for you, becomes a problem, they hold your money and free reluctant doing the needful and when you contact their agent, they talk to you as if your not important to them, no remorse, am beginning to hate you guys😭😭you guys are wicked.",2025-06-07 18:28:55
A Google user,5,Good app for daily transaction.. it is transparent,2025-06-07 17:59:04
A Google user,5,SO FABULOUS APP,2025-06-07 17:27:58
A Google user,5,good,2025-06-07 16:19:45
A Google user,5,instant transfer n receiving of funds,2025-06-07 16:15:04
A Google user,4,This app is easy to use and I like it,2025-06-07 14:38:02
A Google user,5,good experience,2025-06-07 14:30:03
A Google user,4,Amazing!,2025-06-07 14:21:43
A Google user,5,very much perfect,2025-06-07 13:50:45
A Google user,1,I could not find my balance,2025-06-07 13:13:59
A Google user,4,Electricity bill payment isn't very reliable,2025-06-07 12:49:18
A Google user,5,smooth and swift,2025-06-07 11:52:29
A Google user,5,I love monie point,2025-06-07 11:39:29
A Google user,5,The bank is very smart,2025-06-07 11:10:29
A Google user,5,This app disappoints me The charges are dope Abeg make una reduce charges Make the poor breathe The app is very good 5/5,2025-06-07 10:57:35
A Google user,3,nice one,2025-06-07 10:07:51
A Google user,5,I love this app is so amazing,2025-06-07 10:02:33
A Google user,4,good to use,2025-06-07 09:35:55
A Google user,1,"why are you people using your hand to debit money from my account... what act of greedy is this ... we that do pos get little revenue because the pos machine charges too much, but not in the complain, I noticed this earlier, but didn't complain... you debit my money for sporty, the first time you guys did this I wonder on how I debit money from my account to sporty... and till last week a girl came to do pos after the pos, you guys deducted #2000 to sporty later #3000 and to 3500.",2025-06-07 09:20:00
A Google user,5,very clear,2025-06-07 09:06:42
A Google user,5,Excellent,2025-06-07 08:51:46
A Google user,5,Thank you so much,2025-06-07 08:27:02
A Google user,5,very good app,2025-06-07 06:56:17
A Google user,4,fantastic!!!!,2025-06-07 06:45:54
A Google user,5,"I really love everything about Moniepoint, they banking easy for people",2025-06-07 06:24:32
A Google user,5,nicely good transaction and data services,2025-06-07 05:49:33
A Google user,5,great job,2025-06-07 02:42:47
A Google user,5,okay,2025-06-07 01:51:21
A Google user,4,Good app for operation,2025-06-07 01:24:49
A Google user,5,so fast I think it's the fastest mobile bank,2025-06-07 01:18:18
A Google user,5,easy fast and reliable 👌,2025-06-07 01:07:04
A Google user,5,great,2025-06-07 00:56:02
A Google user,5,I love it so much ❤️,2025-06-07 00:22:16
A Google user,5,the money you guys deduct after a transfer is outrageous,2025-06-06 23:42:03
A Google user,5,very good so far,2025-06-06 22:07:53
A Google user,5,moniepoint business is the best,2025-06-06 21:36:32
A Google user,5,Good app for easy banking,2025-06-06 21:35:21
A Google user,3,Great,2025-06-06 21:03:44
A Google user,5,very good 😊 for banking I just have to say it's the best,2025-06-06 20:52:37
A Google user,5,very good 👍,2025-06-06 20:46:02
A Google user,5,this app is very good and has outstanding service,2025-06-06 19:34:23
A Google user,5,good,2025-06-06 17:37:12
A Google user,1,This app sucks to login. I've been having difficulties just to register login on my device through selfie. Spending hours to capture facial recognition. Nawa o.,2025-06-06 17:30:20
A Google user,5,great,2025-06-06 17:21:52
A Google user,5,I love money point,2025-06-06 17:13:01
A Google user,5,the app is very good 💯,2025-06-06 17:06:45
A Google user,5,I came to no that moniepoint is fast and my colleagues that use it appreciate it that's why I downloaded it today and is true moniepoint don't delay I love the app,2025-06-06 16:48:28
A Google user,5,Beautiful,2025-06-06 16:23:43
A Google user,5,very good app,2025-06-06 16:04:24
A Google user,5,so bad,2025-06-06 15:33:02
A Google user,5,i love this moniepoint it's easy to transact.its possibly the best for business,2025-06-06 14:10:05
A Google user,5,No network failure.,2025-06-06 14:08:30
A Google user,1,Very faster and reliable,2025-06-06 13:10:29
A Google user,5,good and cool,2025-06-06 12:12:57
A Google user,5,excellent,2025-06-06 12:01:40
A Google user,1,i don't need it on my device given me headach,2025-06-06 09:36:54
A Google user,5,good,2025-06-06 07:28:17
A Google user,5,Fantastic,2025-06-06 06:45:38
A Google user,5,Nice services,2025-06-06 06:09:05
A Google user,5,hey please help me with the correct transaction don,2025-06-06 05:42:55
A Google user,5,good 👍,2025-06-06 01:08:06
A Google user,5,very intresting,2025-06-05 23:29:53
A Google user,3,so great to me working with you I really appreciate,2025-06-05 21:39:58
A Google user,5,"Fast , reliable n awesome",2025-06-05 21:17:43
A Google user,5,awesome mobile banking app. fast transactions,2025-06-05 21:03:19
A Google user,1,"i uninstalled this app, and I recently reinstalled it but I am not happy. I've forgotten my password and I try recovering it, but it keeps telling me that the version of the app is old and I should update. Oya make I update na, it's not giving me any option to do so. What sort of unnecessary wahala is all this? I can't login, I can't recover password, I can't update. Y'all should resolve this issue abeg.",2025-06-05 20:27:11
A Google user,5,Wonderful to have,2025-06-05 19:12:03
A Google user,5,I enjoyed transacting with moniepoint the network is so fast and reliable with moniepoint I can hint the word,2025-06-05 17:51:09
A Google user,5,On God,2025-06-05 17:44:31
A Google user,3,the app is really good but no loan,2025-06-05 16:38:09
A Google user,1,not logging in,2025-06-05 16:22:12
A Google user,5,ineed more,2025-06-05 16:11:20
A Google user,5,I'm A Moniepoint User And I'm Being Loving It More Than I Expected In Me Before Now.?,2025-06-05 16:10:02
A Google user,3,Very simple to use,2025-06-05 15:03:21
A Google user,5,"good, fast and easy transaction",2025-06-05 14:45:11
A Google user,5,Good ☺️☺️,2025-06-05 14:21:26
A Google user,5,I love this app,2025-06-05 13:30:27
A Google user,5,"Very very interesting,and friendly to use",2025-06-05 12:37:37
A Google user,5,I forgot my password,2025-06-05 11:44:26
A Google user,5,it is a good app,2025-06-05 11:22:32
A Google user,1,good and love 💕😘,2025-06-05 11:20:17
A Google user,4,"I can't log in to my account,it's just rolling ,and every details was correct kindly help",2025-06-05 10:55:45
A Google user,5,Excellent keep it up,2025-06-05 10:18:16
A Google user,3,Is not danlonding fast,2025-06-05 10:15:44
A Google user,2,I like the app The best ever 💓💓💓👍💚,2025-06-05 08:23:15
A Google user,5,very fast and reliable banking with monie point is safe and mind assuring I will give this a five star,2025-06-05 08:11:54
A Google user,5,I love the fact that their transfer doesn't stress me while doing it... I give you credit,2025-06-05 08:09:27
A Google user,5,moniepoint is the best for any transactions,2025-06-05 07:21:30
A Google user,5,Thanks alot Monie...,2025-06-05 07:14:53
A Google user,5,awesome 👍👍,2025-06-05 06:18:19
A Google user,5,better,2025-06-05 05:50:00
A Google user,5,good,2025-06-05 03:08:00
A Google user,5,cool and nice ❤️❤️,2025-06-05 00:51:59
A Google user,2,so bad,2025-06-04 23:06:53
A Google user,3,Nice,2025-06-04 21:36:10
A Google user,5,very good,2025-06-04 21:03:09
A Google user,5,best transaction app,2025-06-04 20:39:17
A Google user,1,This latest update keeps crashing on my samsung a15 and s21 ultra...kindly work on it,2025-06-04 19:58:19
A Google user,1,it's very slow to download and consume a lot of data,2025-06-04 19:39:35
A Google user,5,good transaction's,2025-06-04 17:42:11
A Google user,5,This app is the best never had issues using moniepoint 👍👍🤔,2025-06-04 17:19:05
A Google user,5,very reliable,2025-06-04 17:13:26
A Google user,5,fast and reliable,2025-06-04 15:57:25
A Google user,5,I love this app.. nice one,2025-06-04 15:07:02
A Google user,5,Awesome,2025-06-04 14:40:45
A Google user,5,It is the best 🇩🇪🇩🇪,2025-06-04 14:22:20
A Google user,1,Not as upgraded as any other,2025-06-04 14:10:47
A Google user,5,I love this app,2025-06-04 14:07:18
A Google user,5,monie point is the best internet bank ever✊💯💯💯,2025-06-04 13:54:48
A Google user,5,perfect,2025-06-04 13:45:24
A Google user,5,best banking app ever,2025-06-04 13:44:19
A Google user,1,Hello I have a serious issue with you guys and you've been frustrating my life ever since I'm regretting why I kept leaving my money there. saving money & banking is not supposed to be this hard. I'm trying to log in and I've already input the correct password but now the app is still insisting I do face ID & my front camera is not good. this is frustrating & life threatening I need to access my money & there's no customer care sef if they can even grant me access. this is terrible!,2025-06-04 13:21:11
A Google user,5,habibabdullahi,2025-06-04 13:12:50
A Google user,5,perfect,2025-06-04 12:57:09
A Google user,2,"Very reliable, pls make it possible to hide some Account number from dashboard, I have 3 account I want to hide, let only active account be on my dashboard",2025-06-04 12:50:16
A Google user,5,fast and easy,2025-06-04 12:20:04
A Google user,5,awesome network I love using it,2025-06-04 11:52:52
A Google user,5,very cool,2025-06-04 11:00:48
A Google user,5,Nice,2025-06-04 10:27:44
A Google user,1,I don't like it,2025-06-04 10:02:23
A Google user,5,lovable,2025-06-04 09:43:39
A Google user,5,very good,2025-06-04 08:39:57
A Google user,5,Fast and reliable,2025-06-04 08:27:05
A Google user,5,Very good very nice,2025-06-04 07:39:50
A Google user,5,is lovable and very fast in transaction,2025-06-04 07:21:32
A Google user,5,moniepoint is the very good app in world 🌎,2025-06-04 07:06:41
A Google user,5,"it's been a great experience with moniepoint, I rate it a 4 stars when it comes to convenience",2025-06-04 07:03:20
A Google user,5,feel good with it I'm,2025-06-04 06:52:38
A Google user,5,what you think,2025-06-04 06:42:42
A Google user,5,my first transaction was so very nice I love moneypoint is a faster transaction no delay immediately you transfer and you receive it immediately moneypoint is a faster accounts I love money point business so so without I'm very very happy so I'm so glad for money plant and I am so glad that I'm notified in very faster so thank moneypoint business account I noticed the first transaction only their problem is the charges the ad on top is just 20 naira for each transaction that you are doing 20 Nai,2025-06-04 05:01:21
A Google user,5,good,2025-06-04 04:35:33
A Google user,4,Fantastic!,2025-06-04 03:33:53
A Google user,5,good,2025-06-04 01:50:09
A Google user,4,THIS APP IS GOOD JUST THEY REMOVE 20 NAIRA PER DEPOSIT,2025-06-04 00:42:43
A Google user,5,very good,2025-06-04 00:24:15
A Google user,5,loke,2025-06-03 23:57:51
A Google user,5,"very good app, there network is very okay.",2025-06-03 23:42:02
A Google user,5,Great,2025-06-03 22:58:27
A Google user,5,Swift transaction,2025-06-03 22:32:38
A Google user,5,"one of the best thing I like about Moniepoint, is that they have a platform you can lay your complaints and get response immediately. believe me that's a good one. 👍",2025-06-03 22:14:28
A Google user,5,wsp buzenes,2025-06-03 21:40:31
A Google user,5,I won't transfer to the same account,2025-06-03 21:38:14
A Google user,3,good quality,2025-06-03 21:24:27
A Google user,5,Very helpful,2025-06-03 21:01:35
A Google user,5,very good 👍,2025-06-03 20:28:38
A Google user,1,"am tired of you people ,I registered with your app both normal and business app,and to login is problem have done forget and create new password tired,what is the meaning of all this and I used your bank asy business account.this is totally rubbish and tired , I can't login is my account is my hot line I used for registered .what is the problem your app is really giving me headache.what is all this . captioning every time you send code to recreate the password still the issues not relevant.",2025-06-03 20:09:06
A Google user,5,i love moniepoint,2025-06-03 19:31:41
A Google user,5,I love this app,2025-06-03 19:14:11
A Google user,5,fast,2025-06-03 19:05:38
A Google user,5,very fast and reliable app,2025-06-03 18:41:09
A Google user,5,Very nice and good,2025-06-03 18:34:29
A Google user,5,moniepoint was good and reliable to use for transactions,2025-06-03 17:24:58
A Google user,2,Am an agent and been trying to get a working loan without success. I think moniepoint should do something about this.,2025-06-03 17:11:52
A Google user,5,good,2025-06-03 16:57:54
A Google user,5,Awesome,2025-06-03 16:30:12
A Google user,5,Good app. It's prompt in transactions.,2025-06-03 16:07:06
A Google user,5,good,2025-06-03 16:01:36
A Google user,5,so fast and smooth,2025-06-03 15:49:54
A Google user,5,Excellent,2025-06-03 15:24:52
A Google user,5,monie point is good l like this bank app,2025-06-03 14:12:51
A Google user,5,the best to use,2025-06-03 13:55:19
A Google user,5,I'm really enjoying this beautiful app,2025-06-03 13:40:31
A Google user,5,great,2025-06-03 13:19:56
A Google user,5,is the best,2025-06-03 13:18:04
A Google user,5,I really recommend monie point very good in transferring and all other things monie point is the best for now,2025-06-03 13:14:19
A Google user,5,"Actually I'm must confess this Monie point App are the best, and the transaction method is so smooth and nice",2025-06-03 13:08:12
A Google user,3,I like making fast transaction with moniepoint but this charges of 20 per transaction pain me small,2025-06-03 12:46:32
A Google user,5,Great App,2025-06-03 12:06:39
A Google user,5,great achievement and a wonderful job,2025-06-03 11:56:13
A Google user,5,moniepoint is the best,2025-06-03 11:37:49
A Google user,5,Very good 👍,2025-06-03 09:49:45
A Google user,5,so good moniepoint ❤️,2025-06-03 08:47:57
A Google user,5,This app is very good at transactions I love it,2025-06-03 08:42:55
A Google user,1,"one of the most useless apps ever held my money for 48hr now despite the fact that I am I. Tier 3 still can't receive 2 million in the account. till now they haven't released my money ooo I will advise you to use it for just minimal withdrawals cos anything above 500,000 just use your local bank cos you can go there and complain. their customer care can't even help me wasted 2,000 airtime calling yet nothing is being made",2025-06-03 08:42:31
A Google user,5,Good,2025-06-03 07:06:54
A Google user,5,Good,2025-06-03 06:57:57
A Google user,4,It's cool using this app. I love it,2025-06-03 06:53:04
A Google user,5,Like,2025-06-03 06:42:17
A Google user,5,Best banking experience so far.,2025-06-03 05:54:38
A Google user,5,I love the app,2025-06-03 04:42:30
A Google user,5,love it,2025-06-03 04:42:12
A Google user,4,"first,I was scared to use it, but later when I understand the terminal machine,it gives me a pleasure to continue",2025-06-03 02:39:18
A Google user,5,excellent,2025-06-03 00:37:50
A Google user,5,super,2025-06-02 23:30:35
A Google user,5,good,2025-06-02 22:29:08
A Google user,3,good,2025-06-02 21:18:38
A Google user,5,great,2025-06-02 20:50:12
A Google user,1,am very grateful so fast,2025-06-02 20:33:47
A Google user,5,it's a good app,2025-06-02 19:23:29
A Google user,5,Great doing business with moniepoint please keep it up,2025-06-02 18:45:24
A Google user,5,I'm also glad to be among your customers,2025-06-02 18:39:16
A Google user,5,Excellent services,2025-06-02 18:18:22
